timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775579918335,256,GET /api/load/storage-locations,200,,Lasttest 1-51,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,256,0,0
1775579918354,237,GET /api/load/kommissionen,200,,Lasttest 1-55,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,237,0,0
1775579918320,271,GET /api/load/goods-receipts,200,,Lasttest 1-45,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,271,0,0
1775579918335,260,GET /api/load/goods-receipts,200,,Lasttest 1-13,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,259,0,0
1775579918320,284,GET /api/load/articles,200,,Lasttest 1-68,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,283,0,0
1775579918320,284,GET /api/load/articles,200,,Lasttest 1-60,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,283,0,0
1775579918320,290,GET /api/load/articles,200,,Lasttest 1-22,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,290,0,0
1775579918354,259,GET /api/load/kommissionen,200,,Lasttest 1-35,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,258,0,0
1775579918354,260,GET /api/load/articles,200,,Lasttest 1-32,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,260,0,0
1775579918335,279,GET /api/load/articles,200,,Lasttest 1-71,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,279,0,0
1775579918354,275,GET /api/load/articles,200,,Lasttest 1-48,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,275,0,0
1775579918370,263,GET /api/load/kommissionen,200,,Lasttest 1-33,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,263,0,0
1775579918371,262,GET /api/load/storage-locations,200,,Lasttest 1-80,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,262,0,0
1775579918371,263,GET /api/load/goods-receipts,200,,Lasttest 1-95,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,263,0,0
1775579918371,263,GET /api/load/goods-receipts,200,,Lasttest 1-79,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,263,0,0
1775579918388,246,GET /api/load/kommissionen,200,,Lasttest 1-90,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,246,0,0
1775579918404,250,GET /api/load/kommissionen,200,,Lasttest 1-23,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,249,0,0
1775579918374,291,GET /api/load/articles,200,,Lasttest 1-39,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,291,0,0
1775579918372,293,GET /api/load/articles,200,,Lasttest 1-42,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,293,0,0
1775579918404,272,GET /api/load/goods-receipts,200,,Lasttest 1-96,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,272,0,0
1775579918388,288,GET /api/load/articles,200,,Lasttest 1-81,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,288,0,0
1775579918152,524,GET /api/load/articles,200,,Lasttest 1-41,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,524,0,0
1775579918421,260,GET /api/load/storage-locations,200,,Lasttest 1-38,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,260,0,0
1775579918421,261,GET /api/load/goods-receipts,200,,Lasttest 1-12,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,260,0,0
1775579918421,261,GET /api/load/storage-locations,200,,Lasttest 1-83,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,260,0,0
1775579918421,261,GET /api/load/storage-locations,200,,Lasttest 1-7,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,260,0,0
1775579918453,244,GET /api/load/kommissionen,200,,Lasttest 1-47,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,243,0,0
1775579918437,262,GET /api/load/storage-locations,200,,Lasttest 1-57,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,262,0,0
1775579918453,248,GET /api/load/kommissionen,200,,Lasttest 1-97,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,248,0,0
1775579918251,450,GET /api/load/kommissionen,200,,Lasttest 1-93,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,450,0,0
1775579918436,273,GET /api/load/storage-locations,200,,Lasttest 1-56,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,272,0,0
1775579918439,277,GET /api/load/goods-receipts,200,,Lasttest 1-11,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,276,0,0
1775579918453,267,GET /api/load/goods-receipts,200,,Lasttest 1-58,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,266,0,0
1775579918288,432,GET /api/load/kommissionen,200,,Lasttest 1-24,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,432,0,0
1775579918487,233,GET /api/load/kommissionen,200,,Lasttest 1-91,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,233,0,0
1775579918436,292,GET /api/load/articles,200,,Lasttest 1-70,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,292,0,0
1775579918454,274,GET /api/load/storage-locations,200,,Lasttest 1-6,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,274,0,0
1775579918288,447,GET /api/load/goods-receipts,200,,Lasttest 1-85,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,447,0,0
1775579918487,248,GET /api/load/kommissionen,200,,Lasttest 1-74,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,248,0,0
1775579918453,287,GET /api/load/articles,200,,Lasttest 1-75,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,287,0,0
1775579918487,254,GET /api/load/kommissionen,200,,Lasttest 1-8,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,254,0,0
1775579918507,235,GET /api/load/kommissionen,200,,Lasttest 1-4,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,234,0,0
1775579918470,279,GET /api/load/goods-receipts,200,,Lasttest 1-31,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,279,0,0
1775579918504,245,GET /api/load/kommissionen,200,,Lasttest 1-14,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,245,0,0
1775579918504,252,GET /api/load/kommissionen,200,,Lasttest 1-65,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,251,0,0
1775579918288,474,GET /api/load/articles,200,,Lasttest 1-36,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,474,0,0
1775579918506,268,GET /api/load/goods-receipts,200,,Lasttest 1-26,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,267,0,0
1775579918538,240,GET /api/load/kommissionen,200,,Lasttest 1-50,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,239,0,0
1775579918736,56,GET /api/load/storage-locations,200,,Lasttest 1-34,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,55,0,0
1775579918506,292,GET /api/load/articles,200,,Lasttest 1-67,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,291,0,0
1775579918736,62,GET /api/load/storage-locations,200,,Lasttest 1-22,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,61,0,0
1775579918736,63,GET /api/load/storage-locations,200,,Lasttest 1-61,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,62,0,0
1775579918520,280,GET /api/load/articles,200,,Lasttest 1-29,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,277,0,0
1775579918553,258,GET /api/load/goods-receipts,200,,Lasttest 1-59,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,257,0,0
1775579918538,278,GET /api/load/articles,200,,Lasttest 1-30,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,278,0,0
1775579918553,263,GET /api/load/storage-locations,200,,Lasttest 1-52,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,263,0,0
1775579918554,265,GET /api/load/storage-locations,200,,Lasttest 1-17,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,265,0,0
1775579918569,258,GET /api/load/storage-locations,200,,Lasttest 1-37,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,258,0,0
1775579918569,263,GET /api/load/goods-receipts,200,,Lasttest 1-27,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,263,0,0
1775579918601,234,GET /api/load/kommissionen,200,,Lasttest 1-64,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,234,0,0
1775579918586,249,GET /api/load/kommissionen,200,,Lasttest 1-62,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,249,0,0
1775579918569,275,GET /api/load/goods-receipts,200,,Lasttest 1-54,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,274,0,0
1775579918570,276,GET /api/load/storage-locations,200,,Lasttest 1-21,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,275,0,0
